Barcode,ISBN,Resource Type,Section,Title,Author,Status,# times Checked Out,Accession Date
9308,9780307352835,Books,Fiction,Mademoiselle Victorine,"Finerman, Debra",,1,11/24/2015
2276,9781439170809,Books,Hardcover fict,"Madonnas Of Echo Park, The","Skyhorse, Brando.",,4,9/29/2015
19692,9780393076424,Books,Non-fiction,Madre,"Bakewell, Elizabeth.",,0,3/14/2018
18984,9780385410953,Books,2nd language re,Madrigal's Magic Key To Spanish,"Madrigal, Margarita.",,4,11/13/2017
234980,9780545836715,Books,child mid reade,Mae the Panda Fairy,,,0,3/28/2020
7793,9781409149897,Books,Short Stories,Maeve's Times,"Binchy, Maeve Binchy Maeve",,6,11/14/2015
300819,9781936932399,Books,Fiction,Maggie Terry,"Schulman, Sarah , 1958- , author.",,0,4/23/2021
11975,9780440415817,Books,Young Adult,Maggie's Door,"Giff, Patricia Reilly",,0,12/9/2015
9358,9780312947477,Books,Fiction,Magic City,"Hall, James W.",,0,11/25/2015
4069,9780836270068,Books,child 700,Magic Eye,,,0,10/5/2015
234635,9780981663722,Books,Judd Dolle,Magic Made in Mexico,"Rosado, Joanna van der Gracht de",,5,11/11/2015
300612,9780385667159,Books,Fiction,"Magic Of Saida, The","Vassanji, M. G.",,0,4/2/2021
18580,9780439569910,Books,child inter rea,"Magic School Bus Flies From The Nest, The","Cole, Joanna.",,5,8/28/2017
18578,0439569893,Books,child inter rea,"Magic School Bus Sleeps For The Winter, The","Moore, Eva.",,0,3/24/2021
13160,0330433288,Books,Fiction,Magic Seeds,"Naipaul, V.S.",,2,2/27/2016
21335,9780345416902,Books,Fiction,Magic Street,"Card, Orson Scott",,0,10/8/2018
4513,0590988255,Books,child adv. read,"Magic Tree House #8, Midnight On The Moon","Osborne, Mary Pope",,8,10/1/2015
19912,0590706462,Books,child adv. read,Magic Tree House 16,"Osborne, Mary",,0,3/27/2018
666,,Books,Judd Dolle,"Magic, Miracles, and Mexican Baseball","Kalmon, Julia",,0,9/12/2015
5396,,Books,Non-fiction,"Magic, Science and Religion","Malinowski, Bronislaw",,0,10/23/2015
14734,9780060928827,Books,Judd Dolle,Magical Passes,"Castaneda, Carlos",,1,6/22/2016
235434,0156006219,Books,Fiction,"Magician's Assistant, The","Patchett, Ann.",,5,9/18/2015
2563,9780689876226,Books,pic. books hard,"Magician's Boy, The","Cooper, Susan , 1935-",,2,9/30/2015
8011,9780345362490,Books,Science Fiction,Magnificat,"May, Julian",,0,12/12/2015
235012,,DVDs,DVD,Magnolia,,,0,8/10/2020
18371,,DVDs,DVD,Magnum PI,,,0,8/3/2017
19012,9781443452564,Books,Fiction,Magpie Murders,"Horowitz, Anthony",,5,11/8/2017
3188,,Books,Judd Dolle,Magritte,,,0,9/25/2015
22447,,Books,Fiction,Maigret and the Headless Corpse,"Simenon, Georges",,2,1/17/2019
20899,0151555524,Books,Fiction,Maigret And The Hotel Majestic,"Simenon, Georges",,3,7/2/2018
12208,0151551448,Books,Fiction,Maigret And the Loner,"Simenon, Georges",,8,12/10/2015
12198,9780156028509,Books,Fiction,Maigret And The Madwoman,"Simenon, Georges",,5,12/10/2015
12189,9781579125790,Books,Fiction,Maigret and the Wine Merchant,"Simenon, Georges",,6,12/10/2015
20897,015155563x,Books,Fiction,Maigret Bides His Time,"Simenon, Georges",,2,7/2/2018
12199,9780156028516,Books,Fiction,Maigret's Boyhood Friend,"Simenon, Georges",,5,12/10/2015
11131,9780451526823,Books,Fiction,Main Street,"Lewis, Sinclair",,1,12/21/2015
22477,1569470642,Books,Fiction,"Maine Massacre, The","Van de Wetering, Janwillem , 1931-2008.",,1,1/15/2019
15605,9780763643683,Books,child early rea,Maisy Goes Camping,"Cousins, Lucy",,2,8/29/2016
15413,9780763615031,Books,pre k reader,Maisy Goes Shopping,"Cousins, Lucy",,3,8/29/2016
15324,9780763643713,Books,child early rea,Maisy Goes to the Library,"Cousins, Lucy",,2,9/2/2016
20137,9780763643706,Books,child inter rea,Maisy Goes To The Museum,"Cousins, Lucy",,1,2/17/2018
235707,0763610844,Books,child early rea,Maisy Takes A Bath,"Cousins, Lucy.",,0,1/29/2020
16238,9780812981223,Books,Fiction,Major Pettigrew's Last Stand,"Simonson, Helen",,5,12/10/2015
,,Books,Judd Dolle - Re,Major writers of America,"Miller, Perry",,0,2/12/2018
300288,9780804178792,Books,Fiction,Make Me,"Child, Lee",,20,2/8/2017
11477,9780786031740,Books,Fiction,Make Them Cry,"O'Brien, Kevin",,3,12/4/2015
3644,0140501711,Books,pic. books pape,Make Way For Ducklings,"McCloskey, Robert",,2,10/14/2015
235567,,DVDs,Children's DVD,Make Way for Ducklings,,,0,12/17/2020
187,9780814339695,Books,Short Stories,Making callaloo in Detroit,"Hernandez, Lolita , 1947-",,1,11/11/2015
21331,9780758212955,Books,Non-fiction,Making Friends With Black People,"Adams, Nick , 1973-",,2,10/8/2018
20713,0766601595,Books,pic. books hard,Making New Friends,"Carruth, Jane",,0,6/25/2018
234834,9780253328731,Books,Non-fiction,"Making Of A Conservative Environmentalist, The","Durnil, Gordon K. , 1936-",,0,3/11/2020
2701,0394726855,Books,Judd Dolle,"Making Of Civilization, The","Whitehouse, Ruth.",,1,9/25/2015
20241,9781612196329,Books,Non-fiction,"Making Of Donald Trump, The","Johnston, David , 1948-",,0,4/7/2018
7526,,Books,Non-fiction,"making of modern man, The","Snyder, Louis L.  (Louis Leo) , 1907-1993.",,0,11/11/2015
6215,0394562720,Books,Non-fiction,"making of The African Queen, or, How I went to Africa with Bogart, Bacall, and Huston and almost lost my mind, The","Hepburn, Katharine , 1907-2003.",,2,11/3/2015
21217,9780684813783,Books,Non-fiction,"Making Of The Atomic Bomb, The","Rhodes, Richard , 1937-",,0,3/22/2021
6089,0806957042,Books,Non-fiction,Making patterns from finished clothes,"Bensussen, Rusty.",,1,11/2/2015
7029,0879513659,Books,Non-fiction,Making Space,"Ball, Rick",,1,11/2/2015
2511,9780609600580,Books,Non-fiction,Making The Gods Work For You,"Casey, Caroline W.",,0,10/2/2015
7021,9780671880750,Books,Non-fiction,Making the Mummies Dance,"Hoving, Thomas",,1,11/2/2015
3148,9780316947565,Books,child 600,Making Things,"Wiseman, Ann Sayre , 1926-",,2,10/1/2015
504,9780140275568,Books,Judd Dolle,Making Waves,"Llosa, Mario Vargas",,3,9/22/2015
15521,9781881320746,Books,Fiction,Making Waves in Zion,"Ray, Sandra King",,0,9/17/2016
2023,075530490X,Books,Hardcover fict,Making Your Mind Up,"Mansell, Jill",,4,9/28/2015
15247,9781897009352,Books,child inter rea,Malagawatch Mice and the Cat Who Discovered America,"Stellings, Caroline",,1,8/6/2016
7316,9780871133618,Books,Non-fiction,Malaria Dreams,"Stevens, Stuart",,3,11/11/2015
16481,,DVDs,DVD,Maldeamores,,,1,12/9/2016
235934,9780349140520,Books,Fiction,Malice,"Higashino, Keigo",,1,2/21/2020
10271,9780440223238,Books,Fiction,Malice,"Steel, Danielle",,5,12/11/2015
23241,9781416505433,Books,Fiction,Malice,"Tanenbaum, Robert K.",,1,11/27/2019
15713,1568656505,Books,Hardcover fict,Malice In the Highlands,"Thomas, Graham",,2,8/24/2016
10045,9780340895849,Books,Fiction,Malicious Intent,"Fox, Kathryn",,1,11/24/2015
234947,9780571191727,Books,Non-fiction,Malignant Sadness,"Wolpert, L.  (Lewis)",,0,3/21/2020
234135,9780743290333,Books,Fiction,Malinche,"Esquivel, Laura , 1950-",,0,12/14/2019
22828,9781864487800,Books,Judd Dolle,Malinche's Conquest,"Lanyon, Anna",,4,9/24/2015
3968,0590449710,Books,Young Adult,Mallory On Strike,"Martin, Ann M. , 1955-",,1,9/28/2015
19076,012569501225,DVDs,DVD,Maltese falcon,,,1,11/13/2017
6276,9780849934179,Books,Non-fiction,Mama Get The Hammer! There's a Fly on Papa's Head!,"Johnson, Barbara",,0,11/7/2015
13911,9780877017592,Books,pic. books hard,"Mama, Do You Love Me?","Joosse, Barbara M.",,2,9/26/2017
1084,9780060955458,Books,Fiction,"Mambo Kings Play Songs Of Love, The","Hijuelos, Oscar.",,1,9/21/2015
8575,067984919x,Books,child 500,Mammals,"Parker, Steve , 1952-",,6,1/26/2016
16554,9789706053329,Books,Judd Dolle,Mammals of the Yucatan Peninsula,,,1,12/14/2016
236238,9780739407141,Books,Short Stories,"Mammoth Book Of Comic Fantasy II, The","Ashley, Mike (ed.)",,0,1/8/2021
11781,9780006512134,Books,Fiction,Man and boy,"Parsons, Tony , 1953-",,2,12/7/2015
2437,0440351839,Books,Non-fiction,Man And His Symbols,"Jung, Carl Gustav",,2,10/2/2015
7646,9780140450194,Books,Non-fiction,Man and Superman,"Shaw, George Bernard",,0,11/10/2015
6594,,Books,Non-fiction,"man behind you, The","Bode, Carl , 1911-1993.",,0,11/5/2015
300624,0553247530,Books,Fiction,"Man Called Noon., The","L'Amour, Louis",,0,4/5/2021
19598,9781476738024,Books,Fiction,"Man Called Ove, A","Backman, Fredrik , 1981- , author.",,2,2/19/2021
9918,9780802170293,Books,Fiction,Man Gone Down,"Thomas, Michael",,0,12/11/2015
234272,0374270325,Books,Fiction,"Man In Full, A","Wolfe, Tom.",,1,12/23/2019
12138,9780684815022,Books,Fiction,Man in the Queue,"Tey, Josephine",,3,12/11/2015
5606,9781559723381,Books,Non-fiction,"Man In The Red Velvet Dress, The","Allen, J. J.",,0,10/23/2015
9834,9780571232918,Books,Fiction,Man in the Window,"Dahl, Kjell Ola",,4,11/21/2015
4868,,Books,Non-fiction,Man is Not Alone:  a Philosophy of Religion,"Heschel, Abraham Joshua",,0,10/5/2015
13532,,DVDs,,Man of the Year,,,5,12/15/2015
16875,,DVDs,DVD,Man on Fire,,,1,2/3/2017
17002,0879239530,Books,Fiction,Man Who Liked Slow Tomatoes,"Constantine, K. C.",,0,2/8/2017
19118,9781594488917,Books,Non-fiction,"Man Who Loved Books Too Much, The","Bartlett, Allison Hoover.",,1,11/24/2017
6857,0671554719,Books,Non-fiction,"man who mistook his wife for a hat and other clinical tales, The","Sacks, Oliver , 1933-2015.",,0,10/29/2015
21662,0884119955,Books,Short Stories,"Man Who Would Be King And Other Stories, The","Kipling, Rudyard , 1865-1936.",,1,11/23/2018
18225,9780399160790,Books,Hardcover fict,"man without breath, A","Kerr, Philip.",,1,7/27/2017
21646,9780439756631,Books,pic. books pape,"Manana , Iguana",,,1,11/20/2018
235074,0823418081,Books,pic. books hard,"Manana, Iguana","Whitford, Paul, Ann",,1,8/14/2020
6080,9781585746378,Books,Non-fiction,"Manana, Manana","Kerr, Peter",,0,10/29/2015
6580,9780143115212,Books,Non-fiction,Manatee/humanity,"Waldman, Anne , 1945-",,0,11/5/2015
10668,9789745241008,Books,Fiction,Mandarin,"Havan, John",,0,11/28/2015
300731,,DVDs,DVD,Manderlay,,,0,4/10/2021
4486,9780836190465,Books,Young Adult,Mandy,"Borntrager, Mary Christner , 1921-",,0,9/23/2015
23031,9780061207075,Books,child adv. read,Mandy,"Edwards, Julie Andrews",,3,3/26/2019
300571,9780345450319,Books,Fiction,"Mango Season, The","Malladi, Amulya",,0,3/29/2021
10185,9780517183328,Books,Judd Dolle,Manhattan,"Highsmith, Carol M. , 1946-",,0,11/11/2015
19807,9781476716732,Books,Hardcover fict,Manhattan Beach,"Egan, Jennifer , author.",,1,3/24/2018
8617,0140291903,Books,Fiction,Manhattan memoir,"Cantwell, Mary.",,1,4/5/2017
7794,9781888451955,Books,Short Stories,Manhattan noir,"Block, Lawrence.",,1,11/14/2015
14048,,Puzzles,Puzzles,Manhattan Skyline,,,3,2/12/2016
14442,9780786021543,Books,Fiction,Mania,"Larsen, Craig.",,1,4/6/2016
21080,0590452037,Books,Young Adult,Maniac Magee,"Spinelli, Jerry",,1,7/20/2018
10369,9780778323501,Books,Fiction,"Manning sisters, The","Macomber, Debbie.",,1,12/2/2015
7501,,Books,Non-fiction,Man's rise to civilization as shown by the Indians of North America from primeval times to the coming of the industrial state.,"Farb, Peter.",,0,11/11/2015
19605,9780807014295,Books,Non-fiction,Man's Search for Meaning,"Frankl, Viktor E.",,1,10/3/2015
14293,,DVDs,DVD,Mansfield Park,,,3,4/2/2016
19303,0-553-21121-8,Books,Fiction,Mansfield Park,"Austen, Jane",,1,12/6/2017
4251,9780835607353,Books,Non-fiction,Manual For The Peacemaker,"Houston, Jean",,0,10/14/2015
6711,9780226823379,Books,Non-fiction,"manual for writers of research papers, theses, and dissertations, A","Turabian, Kate L.",,0,11/5/2015
7752,9780441016754,Books,Short Stories,Many Bloody Returns,"Harris, Charlaine",,0,11/14/2015
2526,9780671657864,Books,Non-fiction,"Many Lives, Many Masters","Weiss, Brian L.  (Brian Leslie) , 1944-",,4,10/2/2015
15321,9780698116412,Books,child 300,Many Luscious Lollipops  - Paperback,,,1,9/2/2016
925,,Books,Judd Dolle,Many Mexicos.,"Simpson, Lesley Byrd , 1891-",,2,9/15/2015
19972,9780060765248,Books,Fiction,Map Of Bones,"Rollins, James",,2,2/1/2018
235876,9780735232143,Books,Young Adult,"Map Of Days, A","Riggs, Ransom , author.",,1,2/14/2020
300610,9780771087288,Books,Fiction,"Map Of Glass, A","Urquhart, Jane",,0,4/2/2021
5942,0060193611,Books,Non-fiction,"map that changed the world, The","Winchester, Simon.",,6,10/28/2015
1002,9780385337205,Books,Judd Dolle,"Mapmaker's Wife, The","Whitaker, Robert.",,4,9/18/2015
22350,0060807148,Books,Fiction,Mapp And Lucia,"Benson, E. F.",,2,1/18/2019
21178,9781845733230,Books,Judd Dolle,Mapping History World History,"Barnes, Ian",,0,8/2/2018
15146,9781595340412,Books,Non-fiction,Maps of the Imagination,"Turchi, Peter",,1,7/9/2016
235014,,DVDs,DVD,Mar Adentro,,,0,8/10/2020
11742,9780060930561,Books,Fiction,Mara and Dann,"Lessing, Doris",,0,12/2/2015
234978,9780545836746,Books,child mid reade,Mara the Meerkat Fairy,,,0,3/28/2020
3983,0140319298,Books,Young Adult,"Mara, Daughter Of The Nile","McGraw, Eloise Jarvis.",,1,9/28/2015
7190,1557781354,Books,Non-fiction,Marc Chagall,"Alexander, Sidney , 1912-",,0,11/2/2015
20565,9780143036661,Books,Fiction,March,"Brooks, Geraldine",,0,11/16/2015
21263,,DVDs,Children's DVD,March of the Penguins,,,0,8/7/2018
18209,9780142004142,Books,Fiction,March violets,"Kerr, Philip.",,2,7/27/2017
21214,9788854405875,Books,Non-fiction,Marco Polo,"Yamashita, Michael S.",,0,8/6/2018
8337,9781400043453,Books,Non-fiction,Marco Polo,"Bergreen, Laurence.",,2,11/10/2015
5042,039597836x,Books,pic. books pape,Margret & H.A. Rey's Curious George And The Dump Truck,"Rey, Margret.",,3,10/20/2015
300146,,DVDs,DVD,Maria Callas at Covent Garden,,,0,2/8/2021
13623,,DVDs,DVD,Maria Full of Grace,,,3,12/15/2015
13534,,DVDs,DVD,Marie Antoinette,,,4,12/15/2015
4341,9780385489492,Books,Non-fiction,Marie Antoinette,"Fraser, Antonia",,1,6/18/2016
20825,0060981180,Books,,Mariette In Ecstasy,"Hansen, Ron",,1,6/28/2018
234100,9780316044714,Books,Fiction,Marina,"Ruiz Zafón, Carlos , 1964- , author.",,1,12/13/2019
13394,8804472111,Books,Fiction,Marines,"Clancy, Tom",,0,3/16/2021
21290,9781455584710,Books,Non-fiction,**Mario Batali Big American Cookbook,"Batali, Mario , author.",,1,9/22/2018
18164,9781572552036,Books,child. Latin Am,Mario's Mayan journey,"McCunney, Michelle.",,7,7/15/2017
4183,9781423142003,Books,Young Adult,Mark of Athena,"Riordan, Rick",,9,9/28/2015
17693,0449225313,Books,Fiction,"mark of the assassin, The","Silva, Daniel , 1960-",,3,3/8/2017
4660,0590519344,Books,Young Adult,"Mark Of The Crown / Jude Watson., The","Watson, Jude.",,1,9/30/2015
20613,9780451217486,Books,Hardcover fict,Mark Of The Lion,"Arruda, Suzanne Middendorf , 1954-",,1,6/11/2018
17854,0935180931,Books,Non-fiction,Mark Twain in Hawaii,"Twain, Mark",,2,5/31/2017
42,9781566195263,Books,Non-fiction,Mark Twain On The Damned Human Race,"Twain, Mark",,1,8/24/2015
4501,9780312360269,Books,Young Adult,Marked,"Cast, P. C.",,3,9/23/2015
15703,0471233277,Books,Non-fiction,"Markets, mobs & mayhem","Menschel, Robert.",,0,8/24/2016
17503,0671527940,Books,Fiction,Marking Time,"Howard, Elizabeth Jane",,1,4/5/2017
20657,9780060817084,Books,Non-fiction,Marley & Me,"Grogan, John , 1957-",,0,6/21/2018
22804,0425099636,Books,Fiction,"Marlow Chronicles, The","Sanders, Lawrence , 1920-",,1,3/1/2019
22793,,Books,Fiction,Marlowe Shakespeare,"Shakespeare, William , 1564-1616.",,0,2/22/2019
235590,9781405276474,Books,Young Adult,Marly's Ghost,"Levithan, David",,0,12/12/2020
234296,9780349011219,Books,Fiction,Marriage,"Ferrier, Susan , 1782-1854 , author.",,0,12/26/2019
22254,9780778315803,Books,Fiction,Marriage Between Friends,"Macomber, Debbie",,1,1/7/2019
5609,067003407X,Books,Non-fiction,"Marriage, A History","Coontz, Stephanie.",,1,10/23/2015
21372,9781844082209,Books,Non-fiction,Married To A Bedouin,"Geldermalsen, Marguerite van.",,1,10/15/2018
22456,9780743269551,Books,Hardcover fict,Married To A Stranger,"MacDonald, Patricia J.",,1,1/17/2019
14656,0060186526,Books,Hardcover fict,Marrying Mom,"Goldsmith, Olivia",,2,6/25/2016
21918,9781559702133,Books,Short Stories,Marrying Off Mother,"Durrell, Gerald",,0,12/16/2018
6170,9780060927936,Books,Non-fiction,Mars And Venus In The Bedroom,"Gray, John",,0,10/27/2015
234587,9781476756585,Books,Fiction,"Mars Room, The","Kushner, Rachel",,0,1/27/2020
22671,,DVDs,DVD,Martian Child,,,1,11/8/2018
8107,0385038623,Books,Science Fiction,"Martian chronicles., The","Bradbury, Ray , 1920-2012.",,0,12/12/2015
17593,9780553418026,Books,Fiction,"Martian, The","Weir, Andy , author.",,3,2/13/2017
6988,9780912333649,Books,Non-fiction,Martin Yan's Culinary Journey Through China,"Yan, Martin , 1948-",,0,3/23/2021
2753,0394824903,Books,child early rea,"Marvin K. Mooney, Will You Please Go Now!","Seuss , Dr.",,14,10/27/2015
3967,0590435698,Books,Young Adult,Mary Anne Misses Logan,"Martin, Ann M. , 1955-",,1,9/28/2015
3966,0590435124,Books,Young Adult,Mary Anne Saves The Day,"Martin, Ann M.",,2,9/28/2015
15594,0823005690,Books,Judd Dolle,Mary Cassatt,"Bullard, E. John",,0,10/14/2016
3093,,Books,Judd Dolle,"Mary Cassatt, 1844-1926.","Cassatt, Mary , 1844-1926.",,0,2/17/2021
1525,0810940892,Books,Judd Dolle,"Mary Cassatt, Modern Woman","Cassatt, Mary , 1844-1926.",,1,9/21/2015
14465,,DVDs,Children's DVD,Mary Poppons,,,6,4/26/2016
6769,0297814982,Books,Non-fiction,Mary Queen of Scots,"Fraser, Antonia , 1932-",,0,11/13/2015
8649,9780393305869,Books,Non-fiction,Mary Todd Lincoln,"Baker, Jean H.",,0,11/13/2015
3989,9780152164560,Books,Young Adult,"Mary, Bloody Mary","Meyer, Carolyn",,1,9/28/2015
1437,0142002798,Books,Fiction,"Mary, Called Magdalene","George, Margaret",,0,9/21/2015
22065,9780330374866,Books,Fiction,"Mary, Mary","Parsons, Julie",,0,12/21/2018
13397,0446619035,Books,Fiction,"**Mary, Mary","Patterson, James",,5,12/18/2015
466,9780292705951,Books,Judd Dolle,"Mary, Mother And Warrior","Hall, Linda B.  (Linda Biesele) , 1939-",,0,9/8/2015
12101,0609810219,Books,Fiction,"Mary, Queen of France","Plaidy, Jean , 1906-1993.",,3,12/8/2015
6813,9780812971514,Books,Non-fiction,"Mary, Queen of Scots, and the Murder of Lord Darnley","Weir, Alison",,1,11/11/2015
4041,,Books,child 390,Marya Morevna,"Zheleznova, Irina",,0,10/3/2015
21133,0061076031,Books,child adv. read,Mary-Kate & Ashley Switching Goals,"Olsen, Mary-Kate & Ashley",,0,8/1/2018
298,089608437x,Books,Judd Dolle,Mask Of Democracy,"La Botz, Dan.",,0,9/4/2015
17460,,DVDs,DVD,"Mask of Zorro, the",,,2,3/25/2017
300064,9780525539520,Books,Hardcover fict,Masked Prey,"Sandford, John , 1944 February 23- , author.",,0,1/23/2021
20864,9780312423209,Books,Fiction,Mason & Dixon,"Pynchon, Thomas",,1,7/2/2018
19915,,Books,Board Books,Masquerade,Disney,,2,3/27/2018
22207,9780679755258,Books,Judd Dolle,"Massacre At El Mozote, The","Danner, Mark , 1958-",,1,1/4/2019
7233,9780786868780,Books,Non-fiction,Massacre At The Palace,"Gregson, Jonathan.",,0,3/24/2021
16910,9780316027519,DVDs,Young Adult,Massie,"Harrison, Lisi.",,0,2/1/2017
7893,0446604143,Books,Fantasy,Master & Fool,"Jones, J. V.",,0,12/9/2015
11490,9780393307054,Books,Fiction,Master and Commander,"O'Brian, Patrick",,3,12/4/2015
13548,,DVDs,DVD,"Master and Commander, ",,,8,12/15/2015
10158,9780452008991,Books,Fiction,"Master And Margarita, The","Bulgakov, Mihail Afanas'evic",,0,12/24/2020
10651,9780060935337,Books,Fiction,"Master Butchers Singing Club, The","Erdrich, Louise",,1,11/23/2015
3978,9781887840002,Books,Young Adult,Master Cornhill,"McGraw, Eloise Jarvis",,0,9/28/2015
20087,9781250057235,Books,Non-fiction,Master Of Ceremonies,"Grey, Joel , 1932- , author.",,1,2/3/2018
235194,9780007837038,Books,Fiction,Master of the Game,"Sheldon, Sidney",,0,10/2/2020
4991,9780800731229,Books,Non-fiction,"Master Plan Of Evangelism, The","Coleman, Robert Emerson , 1928-",,1,10/5/2015
1537,,Books,Judd Dolle,Master Prints Of Japan,"Stern, Harold P.",,0,9/21/2015
23214,9780394578903,Books,Non-fiction,"Master Spy, The","Knightley, Phillip.",,0,5/20/2019
14568,9780764136573,Books,2nd language re,Mastering Spanish Grammar,"Gorrissen, Margarita",,14,4/18/2016
14569,9781438071558,Books,2nd language re,Mastering Spanish vocabulary,"Navarro de Adriaensens, José M.",,10,4/18/2016
17327,9780764123962,Books,2nd language re,Mastering Spanish vocabulary,"Navarro, José María.",,12,3/17/2017
21701,0375413405,Books,Non-fiction,Mastering The Art Of French Cooking,"Child, Julia , author.",,2,11/13/2018
21700,0394401522,Books,Non-fiction,Mastering The Art Of French Cooking,"Child, Julia.",,0,11/13/2018
3076,9780684801971,Books,Judd Dolle,Masterpieces,"Frankel, David , 1954-",,1,12/19/2016
21974,9781439164488,Books,Non-fiction,Masters Of Command,"Strauss, Barry S.",,0,12/16/2018
450,9781878424426,Books,Judd Dolle,"Mastery Of Love, The","Ruiz, Miguel , 1952-",,1,9/8/2015
13547,,DVDs,DVD,Matador,,,1,12/15/2015
300595,9780312357849,Books,Fiction,"Match Made On Madison, A","Davis, Dee , 1959-",,0,4/2/2021
19427,,DVDs,DVD,Match Point,,,2,12/29/2017
300718,630415006993,Books,child adv. read,"Matchlock Gun, The","Edmonds, Walter D.",,0,4/8/2021
13624,,DVDs,DVD,Matchstick Men,,,3,12/15/2015
14815,9786074044904,Books,child. Latin Am,Mate,"Disney, Enterprises, Inc.",,1,5/9/2016
19369,9781588341716,Books,Non-fiction,Math And The Mona Lisa,"Atalay, Bülent.",,1,12/21/2017
3614,9780670861941,Books,Children,Math Curse,"Scieszka, Jon.",,2,10/3/2015
5806,0883651882,Books,Non-fiction,Mathematics In The Making,"Hogben, Lancelot Thomas",,1,10/27/2015
19285,0590996835,Books,child adv. read,Matilda,"Dahl, Roald",,5,12/5/2017
15489,9780060753634,Books,Non-fiction,Mating In Captivity,"Perel, Esther.",,0,11/17/2020
21900,9780679438823,Books,Fiction,"Matisse Stories, The","Byatt, A. S.  (Antonia Susan) , 1936-",,0,12/16/2018
16068,9780316005371,Books,Science Fiction,Matter,"Banks, Iain , 1954-2013.",,3,10/24/2016
16078,9781492616511,Books,pic. books hard,Max the Brave,"Vere, Ed",,5,10/26/2016
235722,,Books,Judd Dolle,"Maxfield Parrish Poster Book, The","Parrish, Maxfield , 1870-1966 , ill.",,0,2/1/2020
234653,0823038971,Books,Non-fiction,Maxfield Parrish.,"Ludwig, Coy L. , 1939-",,1,2/24/2020
4136,9780446618892,Books,Young Adult,Maximum Ride School's Out Forever James Patterson,"Patterson, James",,0,9/28/2015
235451,9780759529748,Books,Young Adult,Maximum Ride.,"Patterson, James , 1947- , author.",,0,12/9/2020
235454,9780759529724,Books,Young Adult,Maximum Ride.,"Patterson, James , 1947-",,0,12/9/2020
235450,9780759529755,Books,Young Adult,Maximum Ride.,"Patterson, James , 1947-",,0,12/9/2020
235453,9780759529731,Books,Young Adult,Maximum Ride.,"Patterson, James , 1947-",,0,12/9/2020
4920,9780449906149,Books,Non-fiction,May You Be The Mother Of A Hundred Sons,"Bumiller, Elisabeth",,1,10/19/2015
376,0486235106,Books,Judd Dolle,"Maya And Their Neighbors, The","Hay, Clarence L.",,0,9/14/2015
409,9780253215017,Books,Judd Dolle,Maya Apocalypse,"Goodman, Felicitas D.",,0,9/8/2015
1006,,Books,Judd Dolle,**Maya Archaeologist.,"Thompson, J. Eric S.  (John Eric Sidney) , 1898-1975.",,2,9/17/2015
687,9780807055076,Books,Judd Dolle,Maya Conquistador,"Restall, Matthew",,7,9/15/2015
22849,0807055069,Books,Judd Dolle,Maya Conquistador,"Restall, Matthew",,1,3/30/2019
542,1879181487,Books,Judd Dolle,Maya Cosmogenesis 2012,"Jenkins, John Major.",,1,9/8/2015
18901,0688140696,Books,Judd Dolle,Maya Cosmos,"Freidel, David",,1,10/27/2017
16407,9780877017035,Books,Judd Dolle,Maya Explorer,"Hagen, Victor W. von",,1,1/11/2017
581,0292708122,Books,Judd Dolle,Maya For Travelers And Students,"Bevington, Gary Loyd.",,2,9/8/2015
16535,0292708122,Books,2nd language re,Maya for Travelers and Students,"Bevington, Gary",,3,12/13/2016
22842,9780806144221,Books,Judd Dolle,Maya Lords And Lordship,"Quezada, Sergio.",,1,3/1/2019
234801,0826328644,Books,Judd Dolle,Maya Medicine,"Kunow, Marianna Appel , 1958-",,2,9/8/2015
21848,0962081191,Books,Judd Dolle,Maya Missions,"Perry, Richard  (Richard D.)",,4,9/28/2015
354,0807854476,Books,Judd Dolle,"Maya Of Morganton, The","Fink, Leon , 1948-",,1,9/8/2015
300378,0043433010,Books,Fiction,Maya Red,"Humphreys, J. R.  (John R.) , 1918-",,0,1/6/2020
17413,9781468549300,Books,Fiction,Maya Sacrifice,"Spradling, Grant",,3,3/25/2017
341,0816508135,Books,Judd Dolle,Maya Salt Production And Trade,"Andrews, Anthony P.",,0,9/8/2015
22848,0691101582,Books,Judd Dolle,Maya Society Under Colonial Rule,"Farriss, Nancy M.  (Nancy Marguerite) , 1938-",,1,3/1/2019
234430,9780545232661,Books,child inter rea,Maya The Harp Fairy,"Meadows, Daisy",,0,1/6/2020
18008,9780545620772,Books,pic. books pape,Maya Was Grumpy,"Pippin-Mathur, Courtney",,1,6/19/2017
22298,9780500289020,Books,Judd Dolle,"Maya, The","Coe, Michael D.",,3,5/21/2018
234214,9780500277164,Books,Judd Dolle,"Maya, The","Coe, Michael D.",,0,12/21/2019
17730,0670803871,Books,Judd Dolle,"Maya, the riddle and rediscovery of a lost civilization","Gallenkamp, Charles.",,2,2/25/2017
930,0833417290,Books,Judd Dolle,Maya/Atlantis,"Le Plongeon, Augustus , 1826-1908.",,0,9/15/2015
16520,,DVDs,DVD,Maya/Aztec,,,1,12/9/2016
541,1591430283,Books,Judd Dolle,"Mayan Calendar And The Transformation Of Consciousness, The","Calleman, Carl Johan.",,3,9/8/2015
458,9781889965031,Books,Judd Dolle,Mayan calendar birthday book,"Koppa, Mary Fran.",,0,11/6/2015
